Date,Time,Latitude,Longitude,Depth[km],Magnitude(ML),Event_type,N.Stations,ID
2008/07/12,19:10:52.652281,53.4383,-168.123,4.18,1.43,VT,6,ok08_270
2008/07/12,19:11:09.325830,53.4278,-168.1498,5.19,1.26,VT,7,ok08_271
2008/07/12,19:11:25.547345,53.3571,-168.2519,14.46,1.49,VT,7,ok08_272
2008/07/12,19:11:37.670515,53.4412,-168.1228,3.91,1.56,VT,7,ok08_273
2008/07/12,19:12:10.635927,53.4573,-168.0922,4.34,1.08,VT,6,ok08_274
2008/07/12,19:12:20.904424,53.4382,-168.1224,3.76,1.5,VT,9,ok08_275
2008/07/12,19:12:41.047196,53.4349,-168.1393,4.87,1.45,VT,8,ok08_276
2008/07/12,19:13:16.094643,53.4451,-168.1236,3.88,1.7,VT,13,ok08_277
2008/07/12,19:14:13.197873,53.4079,-168.2874,1.82,1.43,VT,7,ok08_278
2008/07/12,19:14:52.107535,53.4442,-168.1048,3.33,1.41,VT,8,ok08_279
2008/07/12,19:14:58.198046,53.4544,-168.0851,2.89,,VT,4,ok08_280
2008/07/12,19:15:29.874713,53.4257,-168.1107,3.73,1.51,VT,9,ok08_281
2008/07/12,19:16:32.241735,53.4461,-168.1079,4.12,1.58,VT,10,ok08_282
2008/07/12,19:16:58.888040,53.4566,-168.0824,8.58,1.78,VT,9,ok08_283
2008/07/12,19:17:52.016558,53.4381,-168.1155,4.87,1.29,VT,8,ok08_284
2008/07/12,19:18:34.153787,53.476,-168.059,4.17,1.39,VT,7,ok08_285
2008/07/12,19:19:04.649504,53.4586,-168.1234,11.51,1.5,VT,6,ok08_286
2008/07/12,19:20:17.112599,53.4259,-168.1227,4.69,1.73,LP,5,ok08_287
2008/07/12,19:21:19.068059,53.4658,-168.0757,3.19,2.16,VT,19,ok08_288
2008/07/12,19:21:58.501231,53.4638,-168.0693,8.08,1.93,VT,9,ok08_289
2008/07/12,19:22:19.410129,53.4456,-168.1045,4.56,1.77,VT,9,ok08_290
2008/07/12,19:22:44.884940,53.4031,-168.1802,11.26,2.01,VT,14,ok08_291
2008/07/12,19:23:24.873022,53.4171,-168.1712,1.95,1.8,VT,6,ok08_292
2008/07/12,19:23:33.861765,53.4185,-168.1898,3.51,2.78,VT,16,ok08_293
2008/07/12,19:26:06.258128,53.4601,-168.0641,10.75,2.71,VT,6,ok08_294
2008/07/12,19:27:15.686087,53.4224,-168.1427,2.83,1.21,VT,6,ok08_295
2008/07/12,19:30:03.749486,53.4358,-168.1399,5.0,2.18,VT,8,ok08_296
2008/07/12,19:31:04.502062,53.4393,-168.1397,4.43,2.31,VT,10,ok08_297
2008/07/12,19:31:55.976916,53.4253,-168.1736,1.42,1.66,VT,6,ok08_298
2008/07/12,19:32:42.086480,53.4366,-168.1414,2.36,1.73,VT,8,ok08_299
